FHIRPath (specs),Tamanu,Data Type,Example,Notes
Bundle.resourceType,Literal `Bundle`,constant,Bundle
Bundle.id,() => generate uuid,guid,4fc9d610-1d02-43af-8ff4-a8d4b258e51f
Bundle.language,literal `en-AU`,constant,en-AU
Bundle.identifier.system,Literal `urn:oid:2.16.724.4.8.10.200.10`,constant,urn:oid:2.16.724.4.8.10.200.10,This is a GUID
Bundle.identifier.value,() => generate uuid,guid,fe0bba70-7159-4a94-b0fd-e41c5a558e1a
Bundle.type,Literal `document`,constant,document
Bundle.timestamp,now() in FHIR format ,instant,015-02-07T13:28:17-05:00,See https://hl7.org/fhir/r4b/datatypes.html#instant
Bundle.entry[0].fullUrl,Literal `urn:uuid:${Composition.id}`,constant,urn:uuid:4c6ca15a-eb68-4b37-ba7a-f6241c220ee6,Same url as Composition.id
Bundle.entry[0].resource,See Composition,resource,,This has nested all of Composition
Bundle.entry[1].fullUrl,Literal `urn:uuid:${Patient.id}`,constant,urn:uuid:d856a8a4-dc2c-40f3-ba56-2756e9a02d52,Same url as Patient.id
Bundle.entry[1].resource,See Patient,resource,,This has nested all of Patient
Bundle.entry[2].fullUrl,Literal `urn:uuid:${AllergyIntolerance.id}`,constant,urn:uuid:4fc9d610-1d02-43af-8ff4-a8d4b258e51f,Same url as AllergyIntolerance.id
Bundle.entry[2].resource,See AllergyIntolerance,resource,,This has nested all of AllergyIntolerance
Bundle.entry[3].fullUrl,Literal `urn:uuid:${Condition.id}`,constant,urn:uuid:b09e6a8b-9d5e-4eac-9e87-a3b2852b4aae,Same url as Condition.id
Bundle.entry[3].resource,See Condition,resource,,This has nested all of Condition
Bundle.entry[4].fullUrl,Literal `urn:uuid:${Immunization.id}`,constant,urn:uuid:a639169d-b60f-42b6-8555-4048592d0470,Same url as Immunization.id
Bundle.entry[4].resource,Immunization,resource,,This has nested all of Immunization
Bundle.entry[5].fullUrl,Literal `urn:uuid:${MedicationStatement.id}`,constant,urn:uuid:b33ecf8c-2398-43ec-83f0-a76faaae59e7,Same url as MedicationStatement.id
Bundle.entry[5].resource,See MedicationStatement,resource,,This has nested all of MedicationStatement
