FHIRPath (specs),Tamanu,Data Type,Example,Notes
Condition.id,() => generate uuid,guid,4fc9d610-1d02-43af-8ff4-a8d4b258e51f
Condition.text.status,Literal `generated`
Condition.text.div,"Literal `<div xmlns=\""http://www.w3.org/1999/xhtml\"">These are the Conditions for  ${Patient.firstname} ${Patient.lastName} for ${Condition.code.coding[0].display}. Please review the data for more detail.</div>`",constant,"<div xmlns=\""http://www.w3.org/1999/xhtml\"">These are the Conditions for ${Patient.firstname} ${Patient.lastName} for ${Condition.code.coding[0].display}. Please review the data for more detail.</div>"
Condition.resourceType,Literal `Condition`,constant,Condition
Condition.subject.reference,`Patient/${Patient.id}`,reference,Patient/5ba49a87-ddec-47fe-8f49-ec26dae0608c
Condition.subject.display,`${Patient.firstName} ${Patient.lastName}`,string,Burt Bacharach
Condition.clinicalStatus.coding[0].system,Literal `http://terminology.hl7.org/CodeSystem/condition-clinical`,constant
Condition.clinicalStatus.coding[0].code,"IF PatientCondition.resolved != true then return 'active'
else return 'resolved'",string,resolved
Condition.code.coding[0].system,"IF (PatientCondition exists for this patient)
then Literal `http://snomed.info/sct`
else Literal `http://hl7.org/fhir/uv/ips/CodeSystem/absent-unknown-uv-ips`",constant,http://snomed.info/sct
Condition.code.coding[0].code,"IF (PatientCondition exists for this patient)
then PatientCondition.condition.code
else Literal `no-problem-info`",string,1149334009.0
Condition.code.coding[0].display,"IF (PatientCondition exists for this patient)
then PatientCondition.condition.name
else Literal `No information about current problems`",string,Acute intoxication
Condition.onsetPeriod.end,PatientCondition.resolutionDate,dateTime,2023-07-25T15:10:00+09:00
